-124.5,42.5,9
-124.5,43,9
-124.5,48,9
-124,40,8
-124,40,8
-124,40.5,9
-124,41,9
-124,41.5,9
-124,42,9
-124,42.5,9
-124,43,9
-124,43.5,9
-124,44,9
-124,44.5,9
-124,45,9
-124,45.5,9
-124,46,9
-124,46.5,9
-124,47,9
-124,47.5,9
-123.5,39,8
-123.5,39,8
-123.5,39.5,8
-123.5,39.5,8
-123.5,40,9
-123.5,40.5,9
-123.5,41,9
-123.5,41.5,9
-123.5,42,9
-123.5,42.5,9
-123.5,43,10
-123.5,43.5,8
-123.5,43.5,8
-123.5,44,8
-123.5,44,8
-123.5,44.5,8
-123.5,44.5,8
-123.5,45,8
-123.5,45,8
-123.5,45.5,9
-123.5,46,9
-123.5,46.5,9
-123.5,47,9
-123.5,47.5,9
-123.5,48,9
-123,38.5,8
-123,38.5,8
-123,39.5,9
-123,40,33
-123,40.5,9
-123,41,9
-123,41.5,9
-123,42,10
-123,42.5,9
-123,43,9
-123,43.5,9
-123,44,9
-123,44.5,8
-123,44.5,8
-123,45,8
-123,45,8
-123,45.5,9
-123,46,9
-123,46.5,9
-123,47,9
-123,47.5,9
-123,48,9
-123,48.5,9
-122.5,38,33
-122.5,41.5,9
-122.5,42,9
-122.5,42.5,9
-122.5,43,9
-122.5,43.5,9
-122.5,44,9
-122.5,44.5,9
-122.5,45,9
-122.5,45.5,9
-122.5,46,9
-122.5,46.5,9
-122.5,47,9
-122.5,47.5,9
-122.5,48,9
-122.5,48.5,9
-122,36.5,33
-122,40,9
-122,40.5,9
-122,41,9
-122,42.5,9
-122,43,9
-122,43.5,9
-122,44,9
-122,44.5,9
-122,45,9
-122,45.5,9
-122,46,9
-122,46.5,9
-122,47,9
-122,47.5,9
-122,48,9
-122,48.5,4
-121.5,36,33
-121.5,39,33
-121.5,39.5,9
-121.5,40,9
-121.5,40.5,9
-121.5,41,9
-121.5,42.5,9
-121.5,43,9
-121.5,43.5,9
-121.5,46,9
-121.5,46.5,9
-121.5,47,9
-121.5,47.5,9
-121.5,48.5,4
-121,35.5,33
-121,36,33
-121,38,33
-121,38.5,9
-121,39,9
-121,39.5,9
-121,40,9
-121,42,9
-121,42.5,9
-121,47,9
-121,47.5,9
-120.5,34.5,33
-120.5,35,33
-120.5,37.5,33
-120.5,38,9
-120.5,38.5,9
-120.5,39,9
-120.5,39.5,9
-120.5,44,9
-120.5,47.5,9
-120.5,48,9
-120.5,48.5,9
-120,37,33
-120,37.5,9
-120,38,9
-120,38.5,9
-120,48.5,9
-119.5,36,33
-119.5,36.5,33
-119.5,37,9
-119.5,37.5,9
-119.5,43.5,9
-119.5,44,9
-119.5,44.5,9
-119,35.5,33
-119,36,33
-119,36.5,9
-119,37,9
-119,44,9
-119,44.5,9
-119,45,9
-119,48,9
-119,48.5,9
-118.5,36,9
-118.5,44.5,9
-118.5,45,9
-118.5,48,9
-118.5,48.5,9
-118,45,9
-118,45.5,9
-118,46,9
-118,48,9
-118,48.5,9
-117.5,45,4
-117.5,45.5,9
-117.5,47.5,9
-117.5,48,9
-117.5,48.5,9
-117,34,9
-117,45,9
-117,47,9
-117,47.5,9
-117,48,9
-117,48.5,9
-116.5,44.5,9
-116.5,45,9
-116.5,45.5,9
-116.5,46.5,9
-116.5,47,9
-116.5,47.5,9
-116.5,48,9
-116.5,48.5,9
-116,43.5,9
-116,44,9
-116,44.5,9
-116,45,9
-116,45.5,9
-116,46,9
-116,46.5,9
-116,47,9
-116,47.5,9
-116,48,9
-116,48.5,9
-115.5,43.5,9
-115.5,44,9
-115.5,44.5,9
-115.5,45,9
-115.5,45.5,9
-115.5,46,4
-115.5,46.5,9
-115.5,47,9
-115.5,47.5,9
-115.5,48,9
-115.5,48.5,9
-115,43.5,4
-115,44,9
-115,44.5,9
-115,45,9
-115,45.5,9
-115,46,4
-115,46.5,4
-115,47,9
-115,47.5,9
-115,48,9
-115,48.5,4
-114.5,44.5,4
-114.5,45,9
-114.5,45.5,4
-114.5,46,9
-114.5,46.5,9
-114.5,48.5,9
-114,44,4
-114,45.5,4
-114,46,9
-114,46.5,9
-114,47,9
-114,47.5,9
-114,48,9
-114,48.5,4
-113.5,44.5,4
-113.5,45,9
-113.5,45.5,4
-113.5,46,9
-113.5,47,9
-113.5,47.5,9
-113.5,48,4
-113,34.5,19
-113,37.5,9
-113,44.5,9
-113,45.5,9
-113,46,9
-113,47,9
-113,47.5,9
-112.5,34,19
-112.5,34.5,19
-112.5,38.5,9
-112.5,44.5,4
-112.5,45.5,9
-112.5,46,9
-112.5,46.5,9
-112,33.5,19
-112,34,19
-112,34.5,9
-112,35,9
-112,40,19
-112,40.5,19
-112,41,19
-112,41.5,9
-112,45,9
-111.5,33.5,19
-111.5,34,9
-111.5,34.5,9
-111.5,39,9
-111.5,39.5,9
-111.5,40,9
-111.5,40.5,19
-111.5,42.5,9
-111.5,43,9
-111.5,44,9
-111.5,44.5,9
-111.5,45,4
-111.5,46.5,9
-111,31.5,19
-111,33,19
-111,33.5,19
-111,34,9
-111,40.5,9
-111,42,9
-111,42.5,9
-111,43,9
-111,44,9
-111,44.5,9
-111,45,9
-111,45.5,9
-111,46.5,9
-110.5,32.5,19
-110.5,33.5,19
-110.5,34,9
-110.5,40.5,4
-110.5,43,4
-110.5,43.5,9
-110.5,44,9
-110.5,44.5,9
-110.5,45,4
-110.5,46,9
-110.5,46.5,9
-110,33,19
-110,33.5,9
-110,37.5,9
-110,40.5,9
-110,43,4
-110,43.5,4
-110,44,4
-110,44.5,4
-110,45,4
-109.5,31.5,19
-109.5,33,19
-109.5,33.5,9
-109.5,42.5,9
-109.5,43.5,4
-109.5,45.5,9
-109.5,46.5,9
-109,33.5,9
-109,39.5,19
-109,45,9
-108.5,33,9
-108.5,35,9
-108.5,37.5,4
-108.5,38,4
-108.5,39.5,9
-108.5,45,9
-108.5,46,9
-108,33,9
-108,38,9
-108,38.5,9
-108,39,4
-108,39.5,4
-108,40,19
-108,44.5,4
-107.5,37,9
-107.5,38,4
-107.5,38.5,4
-107.5,39,4
-107.5,39.5,4
-107.5,40,4
-107.5,40.5,4
-107.5,41,19
-107.5,44.5,9
-107.5,45,9
-107,35.5,9
-107,36.5,9
-107,37,9
-107,37.5,4
-107,38,4
-107,39,4
-107,40,4
-107,40.5,4
-107,45,9
-107,45.5,9
-107,46,9
-106.5,36.5,4
-106.5,38,9
-106.5,39.5,4
-106.5,40,4
-106.5,41,9
-106.5,45,9
-106.5,45.5,9
-106,32.5,9
-106,33,9
-106,35.5,9
-106,38,9
-106,38.5,4
-106,40,4
-106,40.5,4
-106,42,9
-106,45,9
-105.5,35.5,9
-105.5,36,9
-105.5,36.5,4
-105.5,37,4
-105.5,37.5,9
-105.5,38,9
-105.5,38.5,9
-105.5,39,9
-105.5,41,9
-105,32,19
-105,36.5,9
-105,44,9
-105,44.5,9
